,frame_repeat,learning_rate,discount_factor,train_epochs,learning_steps_per_epoch,replay_memory_size,batch_size,test_episodes_per_epoch,rewards,train_results,test_results
0,12,0.00025,0.99,10,2000,10000,64,10,"['KILLCOUNT: 5', 'HITS_TAKEN: -2', 'DEATH_PENALTY: 1']","('Results: mean: 1.5 +/- 1.4,', 'min: -1.0,', 'max: 5.0,')","('Results: mean: 1.7 +/- 1.6,', 'min: -1.0', 'max: 5.0')"
1,12,0.00025,0.99,10,2000,10000,64,10,"['KILLCOUNT: 5', 'HITS_TAKEN: -2', 'DEATH_PENALTY: 1']","('Results: mean: 1.8 +/- 1.2,', 'min: 0.0,', 'max: 4.0,')","('Results: mean: 1.7 +/- 1.5,', 'min: 0.0', 'max: 4.0')"
2,12,0.00025,0.99,10,2000,10000,64,10,"['KILLCOUNT: 5', 'HITS_TAKEN: -2', 'DEATH_PENALTY: 1']","('Results: mean: 2.8 +/- 1.5,', 'min: 0.0,', 'max: 5.0,')","('Results: mean: 3.4 +/- 1.4,', 'min: 0.0', 'max: 5.0')"
3,12,0.00025,0.99,10,2000,10000,64,10,"['KILLCOUNT: 5', 'HITS_TAKEN: -2', 'DEATH_PENALTY: 1']","('Results: mean: 3.5 +/- 1.3,', 'min: 0.0,', 'max: 6.0,')","('Results: mean: 3.7 +/- 0.8,', 'min: 3.0', 'max: 5.0')"
4,12,0.00025,0.99,10,2000,10000,64,10,"['KILLCOUNT: 5', 'HITS_TAKEN: -2', 'DEATH_PENALTY: 1']","('Results: mean: 3.7 +/- 1.3,', 'min: 1.0,', 'max: 7.0,')","('Results: mean: 3.8 +/- 1.3,', 'min: 2.0', 'max: 6.0')"
5,12,0.00025,0.99,10,2000,10000,64,10,"['KILLCOUNT: 5', 'HITS_TAKEN: -2', 'DEATH_PENALTY: 1']","('Results: mean: 3.8 +/- 1.3,', 'min: 1.0,', 'max: 6.0,')","('Results: mean: 3.2 +/- 1.2,', 'min: 1.0', 'max: 5.0')"
6,12,0.00025,0.99,10,2000,10000,64,10,"['KILLCOUNT: 5', 'HITS_TAKEN: -2', 'DEATH_PENALTY: 1']","('Results: mean: 3.5 +/- 1.3,', 'min: 0.0,', 'max: 6.0,')","('Results: mean: 3.7 +/- 0.6,', 'min: 3.0', 'max: 5.0')"
7,12,0.00025,0.99,10,2000,10000,64,10,"['KILLCOUNT: 5', 'HITS_TAKEN: -2', 'DEATH_PENALTY: 1']","('Results: mean: 3.6 +/- 1.1,', 'min: 0.0,', 'max: 5.0,')","('Results: mean: 3.2 +/- 1.4,', 'min: 0.0', 'max: 5.0')"
8,12,0.00025,0.99,10,2000,10000,64,10,"['KILLCOUNT: 5', 'HITS_TAKEN: -2', 'DEATH_PENALTY: 1']","('Results: mean: 3.4 +/- 1.4,', 'min: 0.0,', 'max: 7.0,')","('Results: mean: 3.1 +/- 1.5,', 'min: 1.0', 'max: 6.0')"
9,12,0.00025,0.99,10,2000,10000,64,10,"['KILLCOUNT: 5', 'HITS_TAKEN: -2', 'DEATH_PENALTY: 1']","('Results: mean: 3.6 +/- 1.3,', 'min: 0.0,', 'max: 6.0,')","('Results: mean: 3.8 +/- 1.7,', 'min: 0.0', 'max: 6.0')"
